id,numero,data_ajuizamento,id_classe,id_assuntos
405276941,06000150920206070003,2020-03-23,{279},"{11778}"
405276946,06000027120206070015,2020-01-30,{355},"{11778}"
405276949,06000025920206070019,2020-02-06,{355},"{11778}"
405277043,00000321520166070010,2016-10-14,{261},"{11778}"
405277059,00001783620186070091,2018-06-18,{12553},"{11778}"
405277091,00007289120166070999,2016-10-26,{12559},"{11778}"
405277104,00000028820186070016,2018-02-09,{261},"{11778}"
405277108,00001304020166070999,2016-08-15,{1304},"{11778}"
405277120,00000103920166070015,2016-02-23,{1298},"{11778}"
405277124,00007894920166070999,2016-11-04,{12559},"{11778}"
405277134,00000462320166070002,2016-12-15,{261},"{11778}"
405277138,06000042320206070021,2020-01-28,{241},"{11778}"
405277156,06000169120206070003,2020-04-13,{355},"{11778}"
405277163,00007739520166070999,2016-11-04,{12559},"{11778}"
405277171,00000161120186070004,2018-05-03,{12559},"{11778}"
405277173,00000710520176070001,2016-08-26,{279},"{11472}"
405277176,00001347720166070999,2016-08-17,{12549},"{11778}"
405277184,00002508320166070999,2016-09-06,{12549},"{11778}"
405277185,00000458220196070018,2019-06-12,{11528},"{11778}"
405277191,00001414020176070092,2017-12-28,{12559},"{11778}"
405277192,00000453820166070002,2016-11-03,{261},"{11778}"
405277200,00006985620166070999,2016-10-26,{12559},"{11778}"
405277203,00000028020166070009,2016-03-03,{261},"{11778}"
405277205,06000949420216070021,2021-11-11,{12559},"{11778}"
405277206,00000182820166070011,2016-07-05,{261},"{11778}"
405277209,06000885320216070000,2021-07-15,{12377},"{11778}"
405277229,00000216820166070015,2016-06-14,{12553},"{11778}"
405277235,00007557420166070999,2016-11-04,{12559},"{11778}"
405277236,06000416020206070050,2020-03-28,{12553},"{11778}"
405277238,00007765020166070999,2016-11-04,{12559},"{11778}"
405277251,00002626320176070999,2017-07-24,{12559},"{11778}"
405277252,00000098420166070005,2016-02-22,{261},"{11778}"
405277259,06001401020226000000,2022-03-31,{12553},"{11778}"
405277263,00000358520166070004,2016-06-29,{1116},"{11778}"
405277270,00001725520176070999,2017-06-08,{12559},"{11778}"
405277277,00000235820186070018,2018-05-29,{12554},"{11778}"
405277283,06000160220226070010,2022-03-18,{12560},"{11778}"
405277284,06000968220216070015,2021-08-03,{12560},"{11778}"
405277288,00000788120186070091,2018-05-16,{12553},"{11778}"
405277289,06000356620216070002,2021-01-27,{355},"{11778}"
405277291,06000130620206070014,2020-03-28,{261},"{11778}"
